City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,fort bragg,35.139,-79.006,292.06,78,0,1.54,US,1699497713
256,cabo san lucas,22.8909,-109.9124,300.24,76,100,0.45,MX,1699497629
257,rio gallegos,-51.6226,-69.2181,280.18,49,0,7.72,AR,1699498168
258,suntar,62.1444,117.6319,256.77,92,100,1.37,RU,1699498176
259,kenora,49.8167,-94.4337,272.69,100,100,7.2,CA,1699498184
260,belozersk,60.0326,37.7957,277.58,90,100,4.02,RU,1699498192
261,bamboo flat,11.7,92.7167,303.2,74,40,3.09,IN,1699498201
262,kingston,17.997,-76.7936,301.68,79,20,1.54,JM,1699497719
263,cabedelo,-6.9811,-34.8339,297.52,76,2,5.73,BR,1699498218
264,harar,9.3094,42.1258,287.24,60,18,0.5,ET,1699498227
265,constantia,44.1833,28.65,281.53,57,99,8.42,RO,1699497720
266,flying fish cove,-10.4217,105.6791,300.97,83,100,4.63,CX,1699497704
267,yatou,37.15,122.3833,284.5,77,99,10.36,CN,1699498252
268,celestun,20.8667,-90.4,297.21,77,54,5.44,MX,1699498260
269,alo,7.4178,6.7371,297.52,92,100,1.49,NG,1699498268
270,panama city beach,30.1766,-85.8055,292.16,93,0,0.0,US,1699498277
271,brisas de zicatela,15.8369,-97.0419,300.84,84,19,1.67,MX,1699498285
272,verkhnevilyuysk,63.4453,120.3167,256.05,93,94,2.07,RU,1699498293
273,sihora,23.4833,80.1167,296.78,46,6,2.22,IN,1699498301
274,chodavaram,17.8333,82.95,300.06,71,34,0.9,IN,1699498309
275,antonio enes,-16.2325,39.9086,298.11,84,62,4.23,MZ,1699498318
276,coron,11.9986,120.2043,303.24,70,100,6.49,PH,1699498327
277,taoudenni,22.6783,-3.9836,294.27,30,0,2.9,ML,1699498335
278,port hedland,-20.3167,118.5667,305.18,62,0,5.14,AU,1699498194
279,banda aceh,5.5577,95.3222,301.52,74,96,1.93,ID,1699498351
280,remire-montjoly,4.9167,-52.2667,298.17,94,0,0.51,GF,1699498359
281,gaigeturi,33.4644,126.3183,294.18,52,75,1.03,KR,1699498368
282,nandaime,11.757,-86.0529,298.63,88,100,3.73,NI,1699498376
283,chamonix-mont-blanc,45.9238,6.8693,275.61,72,100,3.85,FR,1699498385
284,cururupu,-1.8283,-44.8683,298.17,87,100,2.09,BR,1699498393
285,bull savanna,17.8868,-77.5902,298.06,84,63,2.04,JM,1699498401
286,neiafu,-18.65,-173.9833,301.53,74,75,5.14,TO,1699498409
287,kruisfontein,-34.0033,24.7314,284.08,80,0,2.68,ZA,1699498312
288,al kharj,24.155,47.3346,292.47,40,0,1.75,SA,1699498426
289,castillos,-34.1667,-53.8333,285.34,83,18,1.29,UY,1699498436
290,buala,-8.145,159.5921,301.5,80,80,3.67,SB,1699498449
291,lata,40.1629,-8.3327,285.88,93,100,1.12,PT,1699498461
292,aioun,16.6614,-9.6149,296.46,19,6,4.28,MR,1699498472
293,alamogordo,32.8995,-105.9603,292.6,29,40,3.6,US,1699498482
294,general acha,-37.377,-64.6043,286.64,37,0,0.6,AR,1699498492
295,novodvinsk,64.4165,40.8122,273.59,99,100,2.87,RU,1699498502
296,poronaysk,49.2167,143.1167,273.12,95,100,1.85,RU,1699498513
297,tumwater,47.0073,-122.9093,281.93,92,0,0.45,US,1699498522
298,medicine hat,50.0501,-110.6683,278.39,57,100,4.63,CA,1699498532
299,margate,51.3813,1.3862,279.99,97,100,2.24,GB,1699498291
300,susuman,62.7833,148.1667,248.53,95,85,0.97,RU,1699498552
301,chukhloma,58.7525,42.6825,279.31,84,100,4.02,RU,1699498820
302,quang ngai,15.1167,108.8,301.86,75,100,0.58,VN,1699498845
303,xichang,27.8964,102.2634,289.23,62,3,0.83,CN,1699498858
304,wassertrudingen,49.05,10.6,276.35,80,71,3.73,DE,1699498870
305,margaret river,-33.95,115.0667,288.83,59,100,6.77,AU,1699498670
306,visakhapatnam,17.69,83.2093,300.09,78,20,1.54,IN,1699498889
307,hithadhoo,-0.6,73.0833,300.41,81,77,5.93,MV,1699498658
308,kidal,18.4411,1.4078,296.55,15,25,0.8,ML,1699498908
309,uryv-pokrovka,51.1159,39.1639,284.37,95,100,5.29,RU,1699498918
310,ketchikan,55.3422,-131.6461,284.14,87,100,12.35,US,1699498646
311,hammerfest,70.6634,23.6821,272.4,74,97,6.17,NO,1699498941
312,florenville,49.6998,5.3074,280.99,97,100,6.06,BE,1699498956
313,prince rupert,54.3161,-130.3201,283.98,81,100,16.98,CA,1699498966
314,levuka,50.1834,-105.4011,273.99,61,43,7.08,CA,1699498975
315,kurgan,55.45,65.3333,276.45,57,94,3.58,RU,1699498984
316,mendaha,-1.0333,103.5833,302.96,68,100,0.81,ID,1699498993
317,praya,14.9215,-23.5087,297.45,60,20,8.23,CV,1699499003
318,san juan de miraflores,-12.1629,-76.9635,292.69,83,77,3.06,PE,1699499012
319,malango,-2.9627,119.9001,302.99,47,63,1.99,ID,1699499020
320,cambridge,43.3601,-80.3127,275.78,94,100,9.26,CA,1699499029
321,codrington,-38.2667,141.9667,292.48,54,44,4.69,AU,1699498684
322,laojunmiao,39.8333,97.7333,277.64,26,7,2.02,CN,1699499046
323,arraial do cabo,-22.9661,-42.0278,296.07,73,0,9.26,BR,1699499050
324,salalah,17.0151,54.0924,299.14,34,4,1.84,OM,1699499064
325,kudahuvadhoo,2.6708,72.8944,300.88,73,96,2.33,MV,1699498792
326,truro,50.2653,-5.0544,285.28,68,75,7.2,GB,1699499080
327,port-cartier,50.0334,-66.8654,271.97,70,77,7.57,CA,1699499088
328,hassi messaoud,31.6804,6.0729,290.49,83,32,6.79,DZ,1699499096
329,palora,-1.7,-77.9333,292.05,97,80,1.54,EC,1699499105
330,tiksi,71.6872,128.8694,250.78,98,43,3.61,RU,1699498686
331,pirawa,24.1551,76.0273,298.23,38,0,2.14,IN,1699499123
332,san andres,12.5847,-81.7006,303.16,74,20,4.63,CO,1699498874
